"Table 7a: Quarterly slate production, deliveries and stocks (tonnes), Great Britain [notes 1, 2, 6]",,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found in the notes worksheet. ,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off, select the 'View' ribbon, then 'Freeze panes', then 'Unfreeze panes': or use [Alt,W,F]",,,,,,,,,,,,,,
Source: DBT,,,,,,,,,,,,,,
Year,Quarter,Production: roofing [note 3],Production: cladding and other [note 4],Production: powder and granules,Production: total,Deliveries: roofing [note 3],Deliveries: cladding and other [note 4],Deliveries: powder and granules,Deliveries: total [note 5],Stocks: roofing [note 3],Stocks: cladding and other [note 4],Stocks: powder and granules,Stocks: total,Deliveries of waste for fill and other uses
2013,Q1,[c],"6,052",[c],"13,490",[c],"9,220",[c],"16,444",[c],[c],802,"3,934","1,57,215"
2013,Q2,[c],"9,638",[c],"17,685",[c],"9,440",[c],"17,228",[c],[c],736,"6,587","2,16,035"
2013,Q3,[c],"10,429",[c],"18,367",[c],"6,843",[c],"15,124",[c],[c],537,"4,002","1,69,995"
2013,Q4,[c],"6,300",[c],"14,752",[c],"5,872",[c],"14,181",[c],[c],665,"4,267","1,49,074"
2014,Q1,"4,670","5,639","4,036","14,345","4,337","5,637","4,209","14,183","2,721","1,134",492,"4,347","1,59,818"
2014,Q2,"4,693","7,413","3,946","16,052","4,299","7,428","3,657","15,384","3,085","1,049",781,"4,915","1,79,396"
2014,Q3,"5,141","8,533","3,837","17,511","4,996","8,145","4,054","17,195","3,034",988,564,"4,586","1,52,155"
2014,Q4,"4,854","9,315","3,648","17,817","4,964","10,058","3,473","18,495","2,925","1,076",739,"4,740","1,29,518"
2015,Q1,[c],"7,488",[c],"15,567",[c],"7,564",[c],"16,027",[c],833,[c],"4,113","1,56,704"
2015,Q2,"3,575","8,461","3,421","15,457","4,075","8,443","3,692","16,210","2,143",583,366,"3,092","1,48,002"
2015,Q3,"4,115","7,209","3,636","14,960","3,940","7,177","3,667","14,784","2,318",615,335,"3,268","1,30,949"
2015,Q4,"3,519","6,832","3,380","13,731","3,713","6,812","2,921","13,446","2,130",565,794,"3,489","99,224"
2016,Q1,"4,276","6,533","3,341","14,150","4,046","6,541","3,618","14,205","2,360",587,517,"3,464","1,11,123"
2016,Q2,"3,538","7,062","3,419","14,019","3,865","7,120","3,419","14,404","2,033",529,517,"3,079","1,68,008"
2016,Q3,"3,655","6,867","3,465","13,987","3,786","6,819","3,870","14,475","1,902",557,112,"2,571","1,67,602"
2016,Q4,"3,199","6,301","3,340","12,840","3,319","6,380","2,967","12,666","1,782",478,"1,109","3,369","1,12,980"
2017,Q1,"3,673","5,876","3,431","12,980","3,763","5,902","3,261","12,926","1,661",452,"1,279","3,392","1,88,449"
2017,Q2,"3,486","6,347","2,880","12,713","3,712","6,246","2,702","12,660","1,435",553,"1,457","3,445","1,63,538"
2017,Q3,"3,842","7,688","2,680","14,210","3,625","7,788","2,977","14,390","1,652",453,"1,160","3,265","1,43,548"
2017,Q4,"3,050","6,310","2,856","12,216","3,323","6,204","2,731","12,258","1,379",559,"1,285","3,223","99,419"
2018,Q1,"3,441","7,908","3,321","14,670","3,428","5,893","3,095","12,416","1,392",674,"1,511","3,577","1,12,797"
2018,Q2,"3,272","7,554","3,202","14,028","3,350","7,550","3,271","14,171","1,314",678,"1,442","3,434",[c]
2018,Q3,"3,691","6,839","1,452","11,982","3,802","6,537","1,426","11,765","1,203",975,"1,468","3,646",[c]
2018,Q4,"3,114","5,621","2,686","11,421","3,385","5,598","2,824","11,807",932,998,"1,330","3,260",[c]
2019,Q1,"3,077","7,586","3,755","14,418","3,201","7,542","3,865","14,608",808,"1,042","1,220","3,070",[c]
2019,Q2,"2,983",[c],[c],"15,224","3,197",[c],[c],"15,153",594,[c],[c],"3,141",[c]
2019,Q3,"3,110",[c],[c],"15,744","3,202",[c],[c],"16,009",499,[c],[c],"2,923",[c]
2019,Q4,"2,959",[c],[c],"14,122","2,651",[c],[c],"13,378",807,[c],[c],"3,667",[c]
2020,Q1,[c],"7,159",[c],"14,034","2,219",[c],[c],"13,855",[c],[c],[c],"3,846",[c]
2020,Q2,[c],"4,972",[c],"8,817",[c],"5,183",[c],"9,496",[c],[c],[c],"3,167",[c]
2020,Q3,[c],"7,779",[c],"15,562",[c],"7,750",[c],"16,227",[c],[c],[c],"2,502",[c]
2020,Q4,[c],"6,491",[c],"13,745",[c],"6,471",[c],"13,697",[c],[c],[c],"2,550",[c]
2021,Q1,[c],"7,467",[c],"15,295",[c],"7,257",[c],"14,911",[c],[c],[c],"2,813",[c]
2021,Q2,[c],"9,651",[c],"17,220",[c],"10,307",[c],"17,548",[c],[c],[c],"2,476",[c]
2021,Q3,[c],"7,425",[c],"13,826",[c],"7,568",[c],"14,156",[c],[c],[c],"2,113",[c]
2021,Q4,[c],"8,591",[c],"12,275",[c],"8,853",[c],"13,678",[c],[c],[c],"2,509",[c]
2022,Q1,[c],"7,570",[c],"14,541",[c],"7,571",[c],"14,341",[c],[c],[c],"2,709",[c]
2022,Q2,[c],"7,243",[c],"13,573",[c],"7,318",[c],"13,488",[c],[c],[c],"2,794",[c]
2022,Q3,[c],"7,923",[c],"14,958",[c],"7,863",[c],"14,843",[c],[c],[c],"2,909",[c]
2022,Q4,[c],"6,056",[c],"10,575",[c],"6,051",[c],"11,243",[c],[c],[c],"2,241",[c]
2023,Q1,[c],"8,052",[c],"15,212",[c],"8,124",[c],"15,195",[c],[c],[c],"2,258",[c]
2023,Q2,[c],"8,149",[c],"13,771",[c],"8,168",[c],"13,792",[c],[c],[c],"2,237",[c]
2023,Q3,[c],"6,542",[c],"12,848",[c],"6,549",[c],"12,987",[c],[c],[c],"2,098",[c]
2023,Q4,[c],"6,146",[c],"11,047",[c],"6,019",[c],"10,920",[c],[c],[c],"2,225",[c]
2024,Q1,[c],"5,688",[c],"11,547",[c],"5,664",[c],"11,552",[c],[c],[c],"1,628",[c]
2024,Q2,[c],"5,376",[c],"9,199",[c],"5,522",[c],"9,014",[c],[c],[c],"2,434",[c]
2024,Q3,[c],"5,713",[c],"11,096",[c],"5,663",[c],"11,117",[c],[c],[c],"1,801",[c]
2024,Q4,[c],[c],[c],"11,383",[c],[c],[c],"11,333",[c],[c],[c],"2,525",[c]
2025,Q1,[c],"8,404",[c],"15,442",[c],"8,387",[c],"15,650",[c],[c],[c],"2,317",[c]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
