"Table 9a: Monthly bricks production, deliveries and stocks (millions of bricks), Great Britain [note 1]",,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found in the notes worksheet. ,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off, select the 'View' ribbon, then 'Freeze panes', then 'Unfreeze panes': or use [Alt,W,F]",,,,,,,,,,,,,,
Source: DBT,,,,,,,,,,,,,,
Year,Month,"Seasonally adjusted deliveries [notes 2, 3, 4]",Commons production,Facings production,Engineering production,Total production,Commons deliveries,Facings deliveries,Engineering deliveries,Total deliveries,Commons stocks,Facings stocks,Engineering stocks,Total stocks
2017,January,170,15,102,13,130,13,117,10,141,37,415,68,520
2017,February,166,14,123,13,149,14,123,12,148,38,415,69,521
2017,March,168,16,137,15,167,16,150,15,182,37,401,68,506
2017,April,167,15,135,12,162,15,133,14,162,37,403,66,506
2017,May,176,15,139,15,168,17,158,18,193,35,383,63,481
2017,June,170,14,133,11,158,16,158,17,191,34,358,57,448
2017,July,166,17,132,10,159,17,141,16,175,34,348,51,433
2017,August,168,16,122,10,148,15,147,17,179,35,323,44,401
2017,September,170,15,141,9,165,15,143,16,175,35,321,36,391
2017,October,173,16,148,10,174,16,153,18,187,34,315,29,378
2017,November,175,15,155,6,175,15,154,15,184,34,316,19,369
2017,December,168,11,103,9,123,10,101,10,121,35,318,18,373
2018,January,168,14,122,12,147,11,121,10,142,37,319,20,376
2018,February,166,13,135,10,158,10,125,12,148,40,328,18,386
2018,March,156,13,146,11,170,10,131,11,153,43,343,18,403
2018,April,164,11,150,12,173,11,150,13,173,29,359,14,403
2018,May,162,10,160,11,181,9,156,14,179,30,364,12,405
2018,June,191,11,151,13,175,11,183,13,207,30,332,11,373
2018,July,171,15,139,12,167,13,158,13,185,32,313,10,356
2018,August,174,13,153,14,180,11,160,13,184,34,307,11,351
2018,September,172,11,152,15,179,11,146,14,170,35,313,12,359
2018,October,175,13,162,14,188,13,165,15,194,34,309,11,354
2018,November,176,9,153,13,175,11,163,12,186,32,299,12,343
2018,December,176,8,116,10,133,7,113,11,130,33,302,11,346
2019,January,165,8,140,13,160,9,118,10,137,32,324,13,370
2019,February,171,6,140,16,162,9,131,12,152,29,334,17,380
2019,March,167,8,162,12,181,7,149,11,168,29,346,17,392
2019,April,172,7,157,13,176,9,155,12,176,27,348,18,393
2019,May,172,8,156,15,178,10,166,13,189,29,338,20,386
2019,June,171,11,144,13,168,9,158,14,182,31,324,18,373
2019,July,156,14,157,12,183,12,151,14,177,33,330,17,380
2019,August,158,10,150,14,173,9,143,11,163,34,337,19,390
2019,September,173,10,159,11,180,10,155,13,178,34,341,16,392
2019,October,163,12,166,12,190,10,157,14,181,36,350,14,400
2019,November,160,12,156,16,183,8,144,12,163,39,362,18,420
2019,December,171,5,121,11,138,6,116,11,133,39,367,19,424
2020,January,162,8,129,14,151,8,117,7,132,39,379,26,443
2020,February,163,10,145,11,166,9,123,9,141,39,401,27,468
2020,March,115,8,121,10,139,7,107,8,122,40,416,29,485
2020,April,20,0,3,0,4,2,18,3,23,39,401,26,466
2020,May,65,2,24,1,26,4,58,7,70,36,367,20,422
2020,June,100,6,69,5,80,8,106,10,123,34,330,15,379
2020,July,135,8,116,12,136,9,135,12,156,33,311,14,359
2020,August,149,10,120,12,142,8,126,13,147,35,305,14,354
2020,September,154,10,128,12,149,10,143,12,165,35,289,13,338
2020,October,155,9,136,11,157,9,145,13,167,35,281,11,327
2020,November,162,9,141,14,164,9,141,14,164,34,281,12,327
2020,December,165,6,96,12,114,13,107,13,133,28,270,11,308
2021,January,164,8,106,11,125,7,107,8,123,29,268,13,310
2021,February,153,9,131,12,152,8,118,10,135,31,281,15,327
2021,March,175,9,158,12,178,12,156,15,183,27,283,12,322
2021,April,163,9,139,11,159,12,146,13,171,24,276,10,310
2021,May,164,10,145,13,169,11,144,14,169,24,277,9,310
2021,June,163,9,146,12,167,11,163,13,187,23,260,8,290
2021,July,161,10,136,15,160,11,153,14,178,22,243,9,273
2021,August,157,8,140,15,163,10,142,10,161,20,241,14,275
2021,September,162,9,146,12,168,10,150,14,174,19,238,12,269
2021,October,165,9,151,14,175,10,147,14,170,18,242,13,273
2021,November,161,8,150,12,170,9,147,13,169,17,245,12,274
2021,December,150,7,109,10,125,6,103,9,118,18,250,13,282
2022,January,181,9,125,15,149,9,122,11,141,19,253,18,289
2022,February,172,9,145,10,163,10,136,10,156,18,262,17,297
2022,March,176,8,153,10,171,12,167,13,191,14,248,15,277
2022,April,169,10,153,13,176,9,145,12,166,15,256,16,287
2022,May,171,12,158,11,181,10,159,13,182,17,255,15,287
2022,June,148,8,150,10,167,10,152,11,173,15,252,15,282
2022,July,159,10,131,13,153,10,148,12,170,15,235,15,265
2022,August,160,11,144,11,166,9,148,13,169,17,232,12,261
2022,September,168,9,148,12,170,10,157,14,180,17,224,11,251
2022,October,153,11,149,13,173,11,135,13,159,17,237,12,266
2022,November,148,11,147,11,169,9,134,12,155,19,250,10,280
2022,December,134,6,105,8,119,5,82,7,95,19,274,11,304
2023,January,128,8,111,14,133,7,82,7,96,20,303,18,341
2023,February,124,9,131,10,150,9,91,9,109,21,342,20,383
2023,March,113,11,145,9,164,9,109,11,129,23,378,17,418
2023,April,119,8,135,12,156,7,95,8,111,24,418,21,463
2023,May,116,10,125,13,148,9,113,11,132,25,430,24,478
2023,June,121,10,121,13,144,10,123,13,145,25,428,23,476
2023,July,115,9,117,13,139,9,109,10,128,25,436,27,487
2023,August,108,7,122,11,140,7,103,10,120,25,455,28,507
2023,September,105,8,121,10,139,7,97,9,113,26,479,29,534
2023,October,103,6,125,10,141,7,99,9,115,25,505,29,560
2023,November,97,7,100,9,116,5,90,9,105,27,515,30,571
2023,December,114,5,48,3,56,6,55,8,69,26,510,25,561
2024,January,116,5,44,3,52,5,79,8,91,24,474,22,520
2024,February,112,6,81,5,92,6,87,8,102,24,468,18,511
2024,March,113,8,99,11,118,7,89,8,104,25,478,20,524
2024,April,111,6,100,10,117,7,102,12,121,25,477,18,519
2024,May,106,7,104,10,121,7,102,10,120,24,478,18,521
2024,June,108,7,104,16,126,7,100,11,118,24,482,24,529
2024,July,118,7,83,11,101,8,115,17,140,23,449,12,484
2024,August,123,7,100,13,120,7,110,11,128,23,438,15,477
2024,September,122,9,111,10,130,8,108,12,128,25,440,14,478
2024,October,123,8,116,11,135,9,119,12,140,24,436,14,474
2024,November,125,13,100,12,125,8,107,11,126,29,429,15,473
2024,December,124,9,74,12,95,6,71,7,84,29,432,20,480
2025,January,125,9,66,37,111,6,87,9,102,31,411,47,489
2025,February [p],139,17,92,13,121,7,106,11,124,41,398,21,459
2025,March [p],123,8,115,12,135,7,106,10,123,32,411,22,465
2025,April [p],123,11,121,11,143,7,108,9,123,37,424,24,484
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
